"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1485","test_non_empty_data[1h-USDT-DAI]","tests.basic","Wed Sep 17 17:57:34 GMT 2025","passed","Wed Sep 17 17:57:35 GMT 2025","","test_data_structure","",""
"","1265","test_timeframe_consistency_2_weeks[USDT-POL]","tests.consistency","Wed Sep 17 17:58:40 GMT 2025","skipped","Wed Sep 17 17:58:41 GMT 2025","","test_timeframe_consistency","",""
"","1260","test_timeframe_consistency_2_weeks[DAI-USDT]","tests.consistency","Wed Sep 17 17:58:46 GMT 2025","skipped","Wed Sep 17 17:58:47 GMT 2025","","test_timeframe_consistency","",""
"","1433","test_dates_ordered[4h-CES-POL]","tests.validation","Wed Sep 17 18:00:25 GMT 2025","passed","Wed Sep 17 18:00:26 GMT 2025","","test_date_validation","",""
"","1404","test_api_availability[1h-CES-POL]","tests.basic","Wed Sep 17 17:54:39 GMT 2025","passed","Wed Sep 17 17:54:41 GMT 2025","","test_availability","",""
"","1403","test_api_availability[1h-POL-USDT]","tests.basic","Wed Sep 17 17:54:32 GMT 2025","passed","Wed Sep 17 17:54:33 GMT 2025","","test_availability","",""
"","1405","test_non_empty_data[1h-CES-USDT]","tests.basic","Wed Sep 17 17:57:35 GMT 2025","passed","Wed Sep 17 17:57:37 GMT 2025","","test_data_structure","",""
"Проверяет, что close находится между low и high, а также другие свечные правила","1415","test_candle_validity[-CES-POL]","tests.validation","Wed Sep 17 18:05:19 GMT 2025","passed","Wed Sep 17 18:05:21 GMT 2025","","test_price_validation","",""
"","1429","test_response_structure[1h-POL-CES]","tests.basic","Wed Sep 17 17:56:03 GMT 2025","passed","Wed Sep 17 17:56:05 GMT 2025","","test_data_structure","",""
"Проверяет, что цены в разумных пределах","1505","test_price_ranges[-CES-DAI]","tests.validation","Wed Sep 17 18:04:13 GMT 2025","passed","Wed Sep 17 18:04:15 GMT 2025","","test_price_validation","",""
"","1496","test_date_format_and_range[15m-CES-DAI]","tests.validation","Wed Sep 17 18:04:00 GMT 2025","passed","Wed Sep 17 18:04:01 GMT 2025","","test_date_validation","",""
"Проверяет, что цены в разумных пределах","1432","test_price_ranges[4h-USDT-CES]","tests.validation","Wed Sep 17 18:04:40 GMT 2025","passed","Wed Sep 17 18:04:41 GMT 2025","","test_price_validation","",""
"","1395","test_no_duplicate_dates[1w-POL-USDT]","tests.validation","Wed Sep 17 18:01:27 GMT 2025","passed","Wed Sep 17 18:01:28 GMT 2025","","test_date_validation","",""
"","1920","test_zero_volume_cases[1h-CES-USDT]","tests.special","Wed Sep 17 17:59:10 GMT 2025","passed","Wed Sep 17 17:59:12 GMT 2025","","test_edge_cases","",""
"","1381","test_response_structure[1w-USDT-CES]","tests.basic","Wed Sep 17 17:55:36 GMT 2025","passed","Wed Sep 17 17:55:38 GMT 2025","","test_data_structure","",""
"","1436","test_dates_ordered[15m-DAI-CES]","tests.validation","Wed Sep 17 18:01:08 GMT 2025","passed","Wed Sep 17 18:01:10 GMT 2025","","test_date_validation","",""
"","1405","test_response_structure[-CES-USDT]","tests.basic","Wed Sep 17 17:55:18 GMT 2025","passed","Wed Sep 17 17:55:19 GMT 2025","","test_data_structure","",""
"","1431","test_no_duplicate_dates[15m-CES-DAI]","tests.validation","Wed Sep 17 18:02:33 GMT 2025","passed","Wed Sep 17 18:02:35 GMT 2025","","test_date_validation","",""
"","1435","test_no_duplicate_dates[4h-USDT-POL]","tests.validation","Wed Sep 17 18:01:46 GMT 2025","passed","Wed Sep 17 18:01:47 GMT 2025","","test_date_validation","",""
"","249","test_zero_volume_cases[4h-USDT-POL]","tests.special","Wed Sep 17 17:59:00 GMT 2025","failed","Wed Sep 17 17:59:01 GMT 2025","","test_edge_cases","",""
"Проверяет, что close находится между low и high, а также другие свечные правила","443","test_candle_validity[-DAI-POL]","tests.validation","Wed Sep 17 18:05:17 GMT 2025","failed","Wed Sep 17 18:05:18 GMT 2025","","test_price_validation","",""
"","1435","test_non_empty_data[4h-DAI-POL]","tests.basic","Wed Sep 17 17:57:11 GMT 2025","passed","Wed Sep 17 17:57:12 GMT 2025","","test_data_structure","",""
"","1423","test_response_structure[4h-CES-DAI]","tests.basic","Wed Sep 17 17:55:55 GMT 2025","passed","Wed Sep 17 17:55:56 GMT 2025","","test_data_structure","",""
"","1261","test_timeframe_consistency_2_weeks[DAI-POL]","tests.consistency","Wed Sep 17 17:58:42 GMT 2025","skipped","Wed Sep 17 17:58:43 GMT 2025","","test_timeframe_consistency","",""
"","1921","test_volume_positive[15m-DAI-POL]","tests.validation","Wed Sep 17 18:08:03 GMT 2025","passed","Wed Sep 17 18:08:05 GMT 2025","","test_volume_validation","",""
"","820","test_inverse_pairs[CES-USDT]","tests.consistency","Wed Sep 17 17:58:05 GMT 2025","passed","Wed Sep 17 17:58:06 GMT 2025","","test_inverse_pairs","",""
"Проверяет, что цены в разумных пределах","661","test_price_ranges[-DAI-POL]","tests.validation","Wed Sep 17 18:04:06 GMT 2025","failed","Wed Sep 17 18:04:07 GMT 2025","","test_price_validation","",""
"","2315","test_volume_positive[1w-POL-DAI]","tests.validation","Wed Sep 17 18:06:52 GMT 2025","passed","Wed Sep 17 18:06:54 GMT 2025","","test_volume_validation","",""
